ConnectionProperty();Property OptionName (varchar);Returns sql_variant.
@@Datefirst;None;Returns tinyint.
@@Dbts;None;Returns timestamp.
@@Langid;None;Returns smallint.
@@Language;None;Returns varchar.
@@Lock_Timeout;None;Returns integer.
@@Max_Connections;None;Returns integer.
@@Max_Precision;None;Returns tinyint.
@@Nestlevel;None;Returns integer.
@@Options;None;Returns integer.
@@Remserver;None;Returns varchar(256).
@@Servername;None;Returns varchar.
@@Servicename;None;Returns varchar.
@@Spid;None;Returns smallint.
@@Textsize;None;Returns integer.
@@Version;None;Returns varchar.
